"","age","gender","occupation","qqm","dsse_1","dsse_2","dsse_3","dsse_4","dsse_5","dsse_6","dsse_7","dsse_8","dsse_9","dsse_10","dsse_11","dsse_12","dsse_13","dsse_14","dsse_15","dsse_16","dsse_17","dsse_18","dsse_19","dsse_20","dsse_21","dsse_22","dsse_23","dsse_24","dsse_25","sise","open"
"153",42,"1","2","2",4,4,2,4,1,4,3,1,1,1,2,1,2,3,4,4,4,2,3,2,2,2,4,3,2,3,3
"154",38,"2","2","2",3,4,4,4,3,5,3,4,5,4,4,5,5,4,5,5,5,4,3,2,4,4,2,4,5,2,2
"155",35,"2","2","2",3,3,2,2,2,4,2,2,5,3,3,4,4,3,4,4,4,2,3,4,3,3,3,4,4,1,1
"156",25,"1","1","2",5,4,1,5,5,5,4,5,2,5,5,5,5,5,2,5,5,4,5,5,5,5,5,5,2,1,1
"157",19,"2","2","2",4,4,3,4,3,3,2,3,2,4,5,5,5,2,2,2,4,4,3,4,1,4,2,4,3,2,2
"158",28,"1","1","1",4,3,5,1,1,1,2,1,2,2,3,2,3,4,3,4,4,4,4,5,4,3,2,4,5,4,4
"159",21,"1","1","2",4,4,4,1,1,4,1,1,1,1,2,2,4,5,4,4,4,1,4,4,3,3,3,4,3,4,4
"160",55,"1","2","2",4,4,4,1,1,4,2,1,2,2,2,2,3,3,4,4,4,3,2,4,3,3,4,3,2,2,2
"161",19,"4","1","2",5,5,3,4,3,5,3,3,5,2,3,1,3,5,5,5,5,1,5,3,4,4,2,3,3,2,2
"162",19,"2","1","2",4,3,4,2,1,5,2,3,2,4,1,4,4,4,4,4,5,3,4,4,2,4,4,5,3,2,2
"163",18,"2","1","2",4,4,5,5,3,5,2,4,2,4,4,4,5,4,3,2,5,2,5,4,5,5,2,4,1,4,4
"164",20,"2","1","2",4,4,3,4,4,4,2,3,1,4,4,3,4,5,4,4,4,2,5,5,4,5,2,5,1,3,3
"165",20,"2","2","2",4,5,4,4,2,5,3,3,2,5,3,5,5,5,4,5,4,4,5,3,4,5,4,5,3,2,2
"166",45,"2","2","2",5,4,1,4,2,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,1,1
"167",20,"2","1","2",4,4,3,4,2,4,2,4,2,4,4,3,4,4,5,4,5,3,4,3,4,4,5,4,3,2,2
"168",21,"2","1","2",3,4,5,4,1,4,3,2,1,2,2,2,4,3,4,4,5,3,4,4,3,5,1,5,4,4,4
"169",20,"1","1","2",5,2,5,3,3,4,2,3,1,4,5,4,5,5,4,5,5,2,5,5,5,5,5,5,4,4,4
"170",20,"2","1","1",5,2,4,1,1,4,1,1,4,4,5,4,5,4,2,4,5,2,4,4,5,5,2,5,2,3,3
"171",19,"2","1","2",5,4,4,3,4,5,1,3,2,5,5,3,3,4,4,5,5,3,4,4,3,5,3,5,2,2,2
"172",19,"2","1","1",5,5,3,4,2,4,2,4,2,4,4,4,4,4,5,4,5,2,4,4,4,4,2,5,4,3,3
